"nace, geo",1995 ,1996 ,1997 ,1998 ,1999 ,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 
"A,AT",: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,8235.315 ,8197.9392 ,8065.48191 ,8122.85604 ,8056.76106 ,8081.39762 ,8206.61304 ,8225.53812 ,8358.37368 ,8305.00271 ,8168.89023 ,8055.58674 ,8016.38096 ,8064.80694 ,8283.1723 s
"A,BE",: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,11715.6613 ,11905.93916 ,12086.86989 ,11716.4442 ,11724.58995 ,11798.80498 ,11755.36602 ,12062.83808 ,11993.34928 ,12067.98378 ,12066.64111 ,12219.53677 ,12263.59559 ,12394.04773 ,12371.70922 s
"A,BG",: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,4131.37029 ,4168.57451 ,4817.38264 ,4605.97897 ,4895.70264 ,5224.35766 ,5887.67624 ,6149.25676 ,6447.1688 ,6499.97619 ,6512.67346 ,6548.47258 ,6399.28152 ,6607.52693 ,6457.84493 s
"A,CH",: ,: ,: ,: ,: ,6999.62488 ,7076.07772 ,7016.73134 ,6910.71069 ,6856.1388 ,6921.16214 ,6971.10011 ,7013.7128 ,7077.00777 ,7033.44988 ,6987.03253 ,6966.5321 ,6971.20857 ,6939.55423 ,7085.512 ,7042.7936 ,7032.37429 ,6953.05693 ,6843.85603 ,6760.06391 ,6704.35363 ,6721.3721 ,: 
"A,CY",: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,598.57432 ,583.90216 ,595.2816 ,593.61313 ,567.37093 ,529.19402 ,507.75203 ,528.35461 ,546.07646 ,564.85245 ,565.17619 ,585.38821 ,624.77961 ,646.96725 ,647.82282 s
"A,CZ",: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,9556.235 ,8706.89671 ,8632.7855 ,9140.40851 ,9039.20791 ,8958.62019 ,9054.28067 ,9625.18885 ,9903.3424 ,9664.20031 ,9499.37295 ,9450.23505 ,9245.42469 ,9334.15772 ,9405.00083 s
"A,DE",: ,: ,: ,: ,: ,69417.63844 ,70280.09373 ,68062.74939 ,67048.82161 ,65858.21615 ,65553.7638 ,64614.40191 ,64912.11706 ,65965.92441 ,66367.53945 ,66915.75686 ,67750.20417 ,67363.03619 ,68317.66754 ,69427.31114 ,69590.33555 ,69154.00296 ,68236.04611 ,66172.87021 ,65333.23219 ,64828.35858 ,63629.3048 ,64440.68604 s
"A,DK",15964.84523 ,15616.44129 ,15501.98307 ,15464.30942 ,15100.16079 ,15200.62393 ,15250.87542 ,15213.51684 ,14981.50164 ,14861.63135 ,14673.80544 ,14394.89457 ,14490.30414 ,14350.96376 ,14143.54524 ,14133.47602 ,14099.70934 ,13859.90734 ,13837.6936 ,13828.52285 ,13726.06072 ,13933.0591 ,13899.8508 ,13775.34029 ,13650.69768 ,13928.10412 ,13796.09116 ,13527.63744 s
"A,EE",: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,1644.55574 ,1540.60416 ,1563.65497 ,1623.42997 ,1829.92848 ,1923.24602 ,1816.13546 ,1669.94354 ,1602.71346 ,1667.88608 ,1679.86211 ,1750.189 ,1677.04881 ,1705.38832 ,1751.79051 s
"A,EL",: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,12194.21124 ,11443.29595 ,11429.19042 ,11231.58044 ,10037.36438 ,9566.62497 ,9201.10588 ,9085.27941 ,9032.98391 ,9010.08575 ,8923.86075 ,8886.53141 ,9399.93135 ,9047.31451 ,9464.7956 s
