quarter,AT,BE,BG,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IT,LT,LU,LV,MT,NL,PL,PT,RO,SE,SI,SK
2010-Q1,21644.966,38388.514,14999.921,2623.032,35766.465,268777.098,27047.717,6185.146,33418.73,91504.647,22508.791,149513.737,7063.371,19240.228,19089.119,147134.457,5897.681,2749.147,3767.606,776.199,64196.727,112272.876,17452.079,31142.916,18998.621,5134.337,11841.038
2010-Q2,19098.895,32231.774,13301.079,2349.008,30580.501,235094.434,24402.614,5181.505,31053.345,87789.24,18696.857,127848.68,6622.677,16269.482,17455.394,125867.911,5237.279,2426.124,2969.828,765.027,55098.421,94706.747,17405.165,29085.065,16274.958,4313.421,10724.488
2010-Q3,18759.618,28631.208,15322.393,2706.075,30259.264,221797.296,24105.418,5338.146,33839.452,88063.585,17133.452,118262.109,7571.832,16007.048,16036.479,122581.864,5687.125,2285.497,3255.764,867.398,50663.107,93105.076,18861.376,30872.591,15158.766,4482.314,10823.447
2010-Q4,22657.16,36872.156,17101.399,2419.351,35435.331,273656.121,27171.313,6228.112,31241.842,94878.104,21634.823,147422.057,7413.437,20336.183,18106.862,144849.001,6145.137,2722.279,3586.769,763.07,62787.199,116175.066,18682.331,36555.383,18407.56,5184.614,12471.524
2011-Q1,21940.199,35696.738,16215.832,2571.621,34468.742,265263.81,27513.081,6207.428,33104.543,94462.841,21841.986,146989.314,7097.491,19615.698,18176.751,147296.775,5680.843,2708.447,3416.473,770.4,61014.198,112474.755,17903.56,31845.993,17665.121,5111.122,11882.353
2011-Q2,18897.348,29676.862,15374.28,2307.115,30449.846,225212.09,24809.952,5296.562,29303.051,87203.246,17349.15,120713.955,6618.598,15767.596,16540.395,122628.641,5686.749,2315.134,2878.052,752.094,51448.923,95503.688,17222.026,30935.336,15494.64,4373.282,10872.413
2011-Q3,17857.058,27640.829,15997.222,2378.426,29840.278,219478.217,23715.576,5608.14,31777.62,88513.213,15085.59,112653.773,7170.153,15633.694,15773.02,118921.185,6137.874,1906.395,3008.321,890.019,48444.236,92918.553,18029.338,32423.786,14542.915,4298.182,10578.611
2011-Q4,20940.772,33014.441,18472.591,2316.762,34312.367,260025.83,25544.866,5849.201,31899.009,92337.24,17424.262,137826.603,7430.995,19947.465,16887.591,137586.119,6053.147,2446.248,3335.917,769.523,57967.759,113579.268,17816.692,38653.013,15728.619,4803.38,11608.585
2012-Q1,20899.591,34575.571,16589.006,2411.465,34842.812,269983.097,25659.168,5589.012,33513.357,96036.973,18340.691,146916.09,7021.016,18513.115,17640.486,143982.699,5742.822,2555.781,3291.745,827.562,59734.459,111646.999,17946.842,32546.098,16126.863,4857.85,11258.437
2012-Q2,17672.63,29447.124,13872.86,2075.183,30324.976,229408.972,23047.783,5077.582,28202.192,86449.9,15552.371,122464.389,6048.044,14481.398,17317.711,119418.246,5480.102,2272.42,2723.753,799.864,51134.239,93834.677,16636.485,29721.203,14400.572,4177.682,9959.242
2012-Q3,17072.051,26584.422,14997.999,2374.25,27505.779,220018.8,21640.031,5318.241,30841.611,84465.405,14485.745,113898.998,6733.361,15041.819,16007.299,115605.387,6259.939,2036.221,3144.617,952.725,47869.53,90810.273,18157.116,32739.451,13791.98,4159.259,9931.164
2012-Q4,20312.168,32235.128,15544.702,2054.974,32268.186,262136.135,24303.473,6061.229,29704.606,88650.637,17558.682,136857.163,6687.711,17775.782,17780.591,128402.467,5926.766,2390.062,3179.67,775.758,56908.632,110263.191,16585.064,36801.228,15583.094,4522.989,11383.193
