year,AT,BE,BG,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IT,LT,LU,LV,MT,NL,PL,PT,RO,SE,SI,SK
2010,82160.639,136123.652,60724.792,10097.466,132041.561,999324.949,102727.062,22932.909,129553.369,362235.576,79973.923,543046.583,28671.317,71852.941,70687.854,540433.233,22967.222,10183.047,13579.967,3171.694,232745.454,416259.765,72400.951,127655.955,68839.905,19114.686,45860.497
2011,79635.377,126028.87,66059.925,9573.924,129071.233,969979.947,101583.475,22961.331,126084.223,362516.54,71700.988,518183.645,28317.237,70964.453,67377.757,526432.72,23558.613,9376.224,12638.763,3182.036,218875.116,414476.264,70971.616,133858.128,63431.295,18585.966,44941.962
2012,75956.44,122842.245,61004.567,8915.872,124941.753,981547.004,94650.455,22046.064,122261.766,355602.915,65937.489,520136.64,26490.132,65812.114,68746.087,507408.799,23409.629,9254.484,12339.785,3355.909,215646.86,406555.14,69325.507,131807.98,59902.509,17717.78,42532.036
2013,74351.681,122295.817,55633.684,8105.072,120204.567,999768.949,93115.449,24480.211,110151.869,328742.956,66449.173,516902.681,25238.135,63477.259,68925.14,471520.056,22220.426,9093.29,12171.794,3040.546,216080.446,402275.515,67273.523,120165.364,58433.293,17315.917,42209.206
2014,70970.476,116511.536,58813.36,8391.112,118514.911,945772.82,86852.652,23554.454,107077.482,331311.442,62057.41,483153.049,24499.844,64264.267,68779.884,448854.102,22394.789,9234.406,12302.73,3062.574,209940.043,390900.219,67136.692,119807.448,56964.384,15697.685,40222.975
2015,72250.383,120029.423,61874.915,8280.718,118714.008,959318.526,86881.71,20424.342,104919.207,343729.736,58735.712,485608.722,24997.852,67796.888,71632.28,458686.085,23053.637,10236.262,12499.874,2378.333,217010.112,393626.548,71151.205,118880.438,57464.77,16266.917,40968.074
2016,72107.923,119471.181,59467.912,8763.122,121142.388,955594.785,89966.039,21580.479,102564.091,332340.619,61950.489,485995.368,25231.265,67895.015,76574.852,455614.137,23341.821,10176.276,12440.804,2072.33,216966.763,407735.73,69060.669,117553.789,58288.397,17017.31,41416.345
2017,75146.304,119223.764,61477.802,9045.25,119716.02,942937.15,90011.047,23060.227,108217.145,345869.008,58914.755,493513.54,26128.267,70447.991,78695.265,453523.153,24145.115,10189.925,12711.921,2264.971,213671.342,426061.902,74284.233,120941.835,56813.726,17441.477,42515.466
2018,71869.498,120309.875,57074.784,9019.009,120101.097,915944.219,92425.989,21904.445,106942.532,340040.962,60061.907,477008.213,24886.118,70562.888,80201.694,448332.389,24979.783,10227.234,13229.71,2334.71,208127.275,426137.341,71091.777,121801.222,55975.286,17529.627,42383.703
2019,75164.709,119784.24,55658.252,8883.785,114047.612,856201.825,88967.217,15909.951,101489.759,321855.635,57080.528,466826.951,25062.535,69459.022,78058.152,438883.352,25480.993,10703.635,13148.582,2484.229,204427.772,405388.266,67878.197,118414.089,54687.124,17254.438,40059.971
2020,69063.396,108269.007,49483.39,8555.645,103558.265,766421.039,78538.708,12206.538,89759.506,277172.178,49364.363,419134.1,24078.934,65864.157,64742.066,393996.191,27047.789,9891.483,11682.895,2223.966,182193.502,389299.181,59475.31,114170.937,48941.03,16348.525,37254.753
2021,73712.504,110553.467,55818.181,8684.145,109725.525,800719.906,83551.056,13596.358,91521.505,295331.373,49257.349,443470.765,24667.606,67916.094,67651.203,428307.075,25360.632,9879.661,11979.182,2227.265,185043.908,420883.351,58549.99,117686.351,51030.25,16715.233,41295.113
2022,69423.146,105457.487,58952.528,8783.876,108235.428,788821.548,79430.811,15539.606,92014.192,304438.215,48182.345,438733.818,24046.908,65749.258,73895.834,428914.821,24297.309,9349.076,11577.594,2327.293,174320.866,405732.028,60814.792,111620.171,49548.378,16681.764,37962.635
2023,65400.711,100257.71,47542.444,8750.828,99185.567,734316.859,75045.708,11991.361,88908.825,293265.614,44536.617,426543.839,23805.712,62430.059,73291.501,408119.593,24152.118,8996.849,11741.556,2488.289,169721.94,379678.45,59395.383,107021.236,48314.528,16012.45,39260.829
2024,16815.539,27067.157,11185.336,2189.4,25744.022,195589.062,18827.236,3159.872,22670.51,73475.406,11614.327,113038.919,5653.761,15615.842,18208.013,109474.309,5921.878,2309.981,3024.766,616.291,46219.987,98767.499,14483.929,26009.312,11932.883,4168.482,9985.774
