siec	geo	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
E7000	AT	263.491	267.136	263.507	272.007	275.718	280.585	282.096	281.891	265.980	284.964	304.203	314.360
E7000	BE	140.980	148.323	133.981	135.305	139.828	146.535	150.258	150.120	135.632	157.678	192.433	223.388
E7000	BG	25.967	23.818	26.311	30.267	30.439	32.467	30.375	39.182	36.349	38.729	39.051	36.560
E7000	CY	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.184	0.430
E7000	CZ	138.779	136.887	134.050	138.349	140.671	145.964	150.763	151.958	141.367	148.356	154.456	155.298
E7000	DE	1033.964	1025.365	990.800	958.555	1009.286	1028.117	1039.295	997.850	991.745	1106.449	1324.928	1417.713
E7000	DK	33.104	33.190	33.104	34.136	38.458	37.768	37.804	39.741	45.112	58.566	76.135	84.259
E7000	EE	6.793	5.417	4.299	4.041	4.127	3.955	3.697	4.815	5.837	2.574	2.790	5.127
E7000	EL	16.251	22.958	29.493	33.362	15.993	16.173	17.386	17.436	15.003	16.742	19.013	16.902
E7000	ES	336.629	328.375	335.856	342.046	335.512	342.820	347.893	338.521	286.758	314.875	342.218	370.994
E7000	EU27_2020	4903.610	4913.853	4778.687	4844.629	4940.005	5025.010	5063.598	5046.241	4632.961	4980.531	5625.032	6057.372
E7000	FI	63.371	63.113	62.253	60.705	60.877	66.638	72.485	73.861	70.163	79.708	93.895	114.875
E7000	FR	921.220	931.453	906.719	920.153	904.592	909.674	867.543	866.821	716.973	830.009	953.835	1105.972
E7000	HR	21.410	20.464	19.862	21.066	21.582	22.992	24.248	23.465	22.528	24.463	24.815	25.193
E7000	HU	84.523	105.503	99.398	100.688	101.204	103.869	103.783	103.181	104.385	107.051	112.382	112.468
E7000	IE	3.910	3.651	3.469	3.788	4.270	4.650	5.696	7.426	8.245	12.715	19.058	28.263
E7000	IT	925.107	926.483	899.656	933.448	959.759	978.750	992.261	992.399	869.663	738.628	774.592	760.653
E7000	LT	6.449	6.363	5.417	5.761	6.191	6.389	6.862	6.664	6.251	6.793	7.893	9.011
E7000	LU	11.069	11.700	11.166	11.893	11.886	12.247	12.949	13.518	12.786	14.293	16.437	19.511
E7000	LV	11.092	10.662	10.060	9.114	9.028	8.998	8.904	8.662	8.109	8.401	8.706	9.226
E7000	MT	0.000	0.000	0.000	0.000	0.000	0.029	0.083	0.149	0.138	0.566	0.933	1.578
E7000	NL	151.591	150.473	147.549	155.310	165.197	171.718	186.056	201.943	197.781	231.877	287.574	333.911
E7000	PL	275.150	271.367	258.555	267.154	282.631	285.980	298.312	293.481	272.905	291.692	301.158	320.597
E7000	PT	34.480	25.881	25.967	26.483	37.115	41.740	42.181	42.515	36.962	40.567	42.825	50.238
E7000	RO	105.589	96.819	91.316	93.035	90.112	93.655	90.824	91.156	93.400	113.902	103.534	76.592
E7000	SE	230.868	236.457	224.850	223.130	229.063	212.898	221.238	234.050	227.429	280.224	341.015	379.364
E7000	SI	13.672	13.242	11.694	13.070	14.273	20.012	20.047	19.864	18.038	20.322	23.617	24.184
E7000	SK	48.151	48.753	49.355	51.763	52.193	50.387	50.559	45.572	43.422	50.387	57.352	60.705
G3000	AT	210.180	277.122	234.401	269.755	259.278	290.605	269.921	251.076	222.161	179.285	82.984	26.123
G3000	BE	45.322	45.256	25.674	34.539	37.856	35.977	44.011	56.859	69.830	101.591	86.946	87.902
G3000	BG	268.272	252.582	246.543	224.444	217.712	245.976	215.783	141.485	121.488	147.438	147.524	150.087
G3000	CY	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
G3000	CZ	51.032	53.353	60.684	66.380	54.514	69.948	74.764	97.055	115.386	101.865	85.376	77.742
G3000	DE	472.720	453.316	448.730	426.569	445.784	456.981	613.104	783.260	473.002	556.351	849.855	734.556
G3000	DK	0.000	0.000	0.000	37.650	39.068	42.545	9.514	10.607	11.034	13.074	14.631	15.176
G3000	EE	0.537	0.860	1.569	2.773	4.127	4.552	8.585	11.748	19.361	23.133	16.527	18.951
G3000	EL	14.725	13.414	13.758	15.112	18.960	12.790	15.191	17.891	18.126	21.036	27.191	29.803
G3000	ES	122.486	137.426	139.512	133.234	157.761	181.795	185.082	213.005	210.167	282.287	348.796	360.232
G3000	EU27_2020	2833.795	3119.994	2993.799	3031.963	3199.643	3289.436	3419.008	3670.281	3018.888	3532.880	3329.409	3158.807
G3000	FI	13.113	9.286	9.652	6.728	8.491	8.343	12.061	17.758	18.510	22.876	23.178	25.289
G3000	FR	97.093	106.683	114.247	117.279	122.149	146.336	130.587	159.886	190.598	267.937	314.108	360.125
G3000	HR	0.817	1.548	3.224	3.310	3.656	4.227	4.220	3.971	3.073	4.013	3.625	2.916
G3000	HU	57.803	33.298	39.768	32.911	48.001	66.036	78.289	82.932	61.500	34.114	29.772	26.806
G3000	IE	4.129	3.439	2.841	3.916	21.239	20.184	22.511	17.381	16.118	17.120	17.796	16.921
G3000	IT	885.770	1030.890	1072.077	1087.425	1105.718	1064.109	1093.114	1147.309	967.168	1277.320	1048.780	977.841
G3000	LT	31.750	29.600	29.600	29.858	31.126	33.728	27.042	26.419	28.611	30.718	29.278	29.192
G3000	LU	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
G3000	LV	0.000	0.000	0.000	0.000	0.000	0.000	0.056	0.185	0.534	1.308	2.055	2.762
G3000	MT	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
G3000	NL	23.710	26.182	30.460	36.604	45.820	57.167	61.717	64.137	60.404	62.088	63.820	63.828
G3000	PL	258.111	368.332	361.687	359.409	382.640	366.026	389.288	352.003	296.494	280.682	60.880	75.955
G3000	PT	11.973	12.382	12.102	14.080	13.865	14.676	16.073	17.508	20.095	23.803	32.728	34.100
G3000	RO	9.523	2.794	3.375	1.182	0.924	0.228	0.219	0.083	0.279	6.907	6.992	6.880
G3000	SE	52.966	52.687	50.623	34.437	36.457	13.316	11.414	8.609	8.615	9.615	6.503	14.338
G3000	SI	0.688	0.795	1.161	2.107	2.816	3.268	3.339	4.418	3.487	4.562	4.828	4.902
G3000	SK	201.075	208.749	92.111	92.261	141.681	150.623	133.123	184.696	82.847	63.757	25.236	16.380
O4630	AT	21.484	20.094	17.667	13.441	12.190	11.605	8.226	5.253	3.055	2.508	2.886	1.887
O4630	BE	52.737	46.145	48.342	63.724	64.823	58.780	55.154	54.715	48.466	48.127	48.353	51.177
O4630	BG	370.259	397.726	433.983	462.549	495.510	478.865	457.021	438.510	415.713	402.274	439.297	460.383
O4630	CY	0.000	0.000	0.000	0.000	0.000	0.000	0.498	0.539	0.451	0.517	0.566	0.479
O4630	CZ	89.968	93.107	102.522	103.568	103.568	100.430	96.245	92.061	77.415	78.461	88.922	93.107
O4630	DE	628.875	612.383	645.735	593.784	536.007	496.913	551.439	478.394	358.024	339.506	234.567	302.469
O4630	DK	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
O4630	EE	3.246	3.814	4.562	5.441	6.108	7.320	8.823	10.509	10.107	10.433	11.161	8.303
O4630	EL	84.599	204.357	221.936	257.094	261.488	245.909	235.570	240.329	193.717	188.568	190.692	193.295
O4630	ES	29.373	35.022	39.541	48.579	53.098	57.617	70.044	97.158	74.563	93.973	121.435	127.747
O4630	EU27_2020	5380.043	5688.482	5767.374	5899.956	5913.327	5998.926	5958.511	5993.763	5060.638	5262.394	5477.964	5627.854
O4630	FI	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
O4630	FR	126.675	112.265	100.251	89.019	80.133	70.708	62.056	57.809	39.008	54.681	91.874	113.076
O4630	HR	61.597	62.717	68.317	75.037	79.516	79.180	78.844	73.917	59.133	61.933	51.966	47.486
O4630	HU	23.574	32.555	30.310	30.310	27.563	26.449	23.143	19.837	14.326	14.326	14.326	15.406
O4630	IE	1.000	1.303	2.108	2.530	2.549	2.254	1.852	1.629	1.150	1.165	1.622	1.174
O4630	IT	1483.233	1688.688	1718.353	1817.235	1755.708	1831.927	1773.287	1816.155	1438.693	1545.823	1686.799	1705.567
O4630	LT	153.004	146.351	143.025	133.312	125.663	116.476	109.163	105.120	96.900	92.416	92.516	94.261
O4630	LU	1.873	1.284	1.481	0.743	0.803	0.694	0.369	0.323	0.191	0.282	0.271	0.398
O4630	LV	44.596	56.561	63.087	64.175	61.999	58.284	55.225	48.432	43.771	39.479	36.006	32.654
