unit	geo	name	2010-Q1 	2010-Q2 	2010-Q3 	2010-Q4 	2011-Q1 	2011-Q2 	2011-Q3 	2011-Q4 	2012-Q1 	2012-Q2 	2012-Q3 	2012-Q4 	2013-Q1 	2013-Q2 	2013-Q3 	2013-Q4 	2014-Q1 	2014-Q2 	2014-Q3 	2014-Q4 	2015-Q1 	2015-Q2 	2015-Q3 	2015-Q4 	2016-Q1 	2016-Q2 	2016-Q3 	2016-Q4 	2017-Q1 	2017-Q2 	2017-Q3 	2017-Q4 	2018-Q1 	2018-Q2 	2018-Q3 	2018-Q4 	2019-Q1 	2019-Q2 	2019-Q3 	2019-Q4 	2020-Q1 	2020-Q2 	2020-Q3 	2020-Q4 	2021-Q1 	2021-Q2 	2021-Q3 	2021-Q4 	2022-Q1 	2022-Q2 	2022-Q3 	2022-Q4 	2023-Q1 	2023-Q2 	2023-Q3 	2023-Q4 	2024-Q1 
THS_T	AT	Austria	21644.966 s	19098.895 s	18759.618 s	22657.16 s	21940.199 s	18897.348 s	17857.058 s	20940.772 s	20899.591 s	17672.63 s	17072.051 s	20312.168 s	20311.464 s	17534.873 s	16884.71 s	19620.634 s	18690.521 s	16914.743 s	16384.204 s	18981.008 s	19416.468 s	16927.573 s	16548.595 s	19357.747 s	19206.587 s	16941.551 s	15980.727 s	19979.058 s	20700.347 s	17631.731 s	17086.405 s	19727.821 s	19853.943 s	16554.154 s	16103.998 s	19357.403 s	19316.384 s	18199.692 s	17755.619 s	19893.014 s	19639.544 s	14318.847 s	16366.038 s	18738.967 s	18855.535 s	17630.142 s	17338.544 s	19888.283 s	19192.432 s	16909.263 s	15702.846 s	17618.605 s	17757.564 s	16106.916 s	14751.865 s	16784.366 s	16815.539 s
THS_T	BE	Belgium	38388.514 s	32231.774 s	28631.208 s	36872.156 s	35696.738 s	29676.862 s	27640.829 s	33014.441 s	34575.571 s	29447.124 s	26584.422 s	32235.128 s	35220.184 s	30055.735 s	25302.49 s	31717.408 s	31775.092 s	27709.093 s	25507.453 s	31519.898 s	33789.899 s	28587.486 s	26382.991 s	31269.047 s	32813.704 s	28216.723 s	25206.81 s	33233.944 s	33303.187 s	28585.257 s	25153.602 s	32181.718 s	33812.992 s	27664.156 s	25877.099 s	32955.628 s	32829.318 s	28995.4 s	25899.565 s	32059.957 s	31387.948 s	23679.647 s	24118.217 s	29083.195 s	30749.222 s	27552.72 s	22917.228 s	29334.297 s	29326.266 s	25160.995 s	23338.296 s	27631.93 s	28806.237 s	24573.935 s	21249.954 s	25627.584 s	27067.157 s
THS_T	BG	Bulgaria	14999.921 s	13301.079 s	15322.393 s	17101.399 s	16215.832 s	15374.28 s	15997.222 s	18472.591 s	16589.006 s	13872.86 s	14997.999 s	15544.702 s	13486.274 s	11303.615 s	14096.617 s	16747.178 s	14753.827 s	13137.363 s	14613.858 s	16308.312 s	15023.641 s	13938.237 s	16149.881 s	16763.156 s	14171.426 s	12890.063 s	14913.208 s	17493.215 s	15733.088 s	14518.653 s	15385.996 s	15840.065 s	13996.529 s	12657.411 s	14409.788 s	16011.056 s	14508.599 s	12743.275 s	13911.66 s	14494.718 s	12922.666 s	10784.528 s	12459.071 s	13317.125 s	12630.319 s	12543.511 s	14660.767 s	15983.584 s	15935.718 s	13780.899 s	14270.96 s	14964.951 s	13183.132 s	10269.534 s	11635.917 s	12453.861 s	11185.336 s
THS_T	CY	Cyprus	2623.032 s	2349.008 s	2706.075 s	2419.351 s	2571.621 s	2307.115 s	2378.426 s	2316.762 s	2411.465 s	2075.183 s	2374.25 s	2054.974 s	2002.371 s	1925.807 s	2123.038 s	2053.856 s	2098.622 s	1985.181 s	2237.749 s	2069.56 s	2081.281 s	1925.824 s	2220.577 s	2053.036 s	2167.161 s	2054.002 s	2355.263 s	2186.696 s	2393.52 s	2085.911 s	2382.562 s	2183.257 s	2257.266 s	2188.723 s	2383.485 s	2189.535 s	2276.047 s	2080.692 s	2396.357 s	2130.689 s	2273.94 s	1721.865 s	2388.809 s	2171.031 s	2148.779 s	2001.13 s	2412.526 s	2121.71 s	2364.912 s	2005.784 s	2332.669 s	2080.511 s	2188.609 s	2030.1 s	2408.754 s	2123.365 s	2189.4 s
THS_T	CZ	Czechia	35766.465 s	30580.501 s	30259.264 s	35435.331 s	34468.742 s	30449.846 s	29840.278 s	34312.367 s	34842.812 s	30324.976 s	27505.779 s	32268.186 s	33034.653 s	28420.644 s	27068.856 s	31680.414 s	32115.81 s	28334.722 s	26794.939 s	31269.44 s	32064.053 s	28126.401 s	27106.835 s	31416.719 s	32181.829 s	28220.571 s	27614.122 s	33125.866 s	33083.889 s	27961.607 s	26789.242 s	31881.282 s	32920.373 s	26989.398 s	27869.66 s	32321.666 s	31429.823 s	26685.599 s	26237.198 s	29694.992 s	29070.96 s	22490.673 s	23447.851 s	28548.781 s	29309.642 s	25100.407 s	24899.567 s	30415.909 s	29477.574 s	25215.999 s	25170.606 s	28371.249 s	27214.271 s	22802.276 s	22593.102 s	26575.918 s	25744.022 s
THS_T	DE	Germany	268777.098 s	235094.434 s	221797.296 s	273656.121 s	265263.81 s	225212.09 s	219478.217 s	260025.83 s	269983.097 s	229408.972 s	220018.8 s	262136.135 s	278177.669 s	234684.992 s	226873.765 s	260032.523 s	257205.662 s	220585.488 s	214775.435 s	253206.235 s	260929.199 s	221098.195 s	223788.346 s	253502.786 s	260567.441 s	225409.951 s	214464.609 s	255152.784 s	265277.477 s	222229.929 s	214228.773 s	241200.971 s	254942.256 s	209481.015 s	211364.471 s	240156.477 s	237710.972 s	201967.989 s	191913.61 s	224609.254 s	216454.974 s	160641.221 s	174667.303 s	214657.541 s	214143.943 s	187901.893 s	180520.863 s	218153.207 s	215600.479 s	186358.638 s	181148.697 s	205713.734 s	209628.803 s	172224.312 s	158790.837 s	193672.907 s	195589.062 s
THS_T	DK	Denmark	27047.717 s	24402.614 s	24105.418 s	27171.313 s	27513.081 s	24809.952 s	23715.576 s	25544.866 s	25659.168 s	23047.783 s	21640.031 s	24303.473 s	25323.209 s	23187.43 s	21694.015 s	22910.795 s	22570.76 s	20993.424 s	21158.922 s	22129.546 s	22824.759 s	21713.354 s	20081.7 s	22261.897 s	23868.781 s	21681.067 s	21354.052 s	23062.139 s	23450.099 s	22093.03 s	21422.97 s	23044.948 s	24163.733 s	22606.469 s	21958.279 s	23697.508 s	23367.789 s	22423.473 s	21095.635 s	22080.32 s	21225.472 s	18564.919 s	18828.847 s	19919.47 s	21140.728 s	20943.28 s	20421.752 s	21045.296 s	20238.375 s	20143.835 s	19371.758 s	19676.843 s	19520.47 s	18780.737 s	17993.218 s	18751.283 s	18827.236 s
THS_T	EE	Estonia	6185.146 s	5181.505 s	5338.146 s	6228.112 s	6207.428 s	5296.562 s	5608.14 s	5849.201 s	5589.012 s	5077.582 s	5318.241 s	6061.229 s	6414.255 s	5852.007 s	6198.324 s	6015.625 s	5665.997 s	5845.56 s	5944.126 s	6098.771 s	5440.811 s	4888.734 s	5025.678 s	5069.119 s	5224.505 s	4577.987 s	5772.291 s	6005.696 s	6280.227 s	5719.073 s	5394.148 s	5666.779 s	5968.305 s	5268.912 s	5554.583 s	5112.645 s	4981.613 s	3782.603 s	3524.223 s	3621.512 s	3007.068 s	2594.217 s	3293.27 s	3311.983 s	3238.469 s	2928.333 s	3302.923 s	4126.633 s	3846.731 s	3660.282 s	3899.853 s	4132.74 s	3326.174 s	2816.828 s	2685.385 s	3162.974 s	3159.872 s
THS_T	EL	Greece	33418.73 s	31053.345 s	33839.452 s	31241.842 s	33104.543 s	29303.051 s	31777.62 s	31899.009 s	33513.357 s	28202.192 s	30841.611 s	29704.606 s	27014.109 s	26112.473 s	28704.986 s	28320.301 s	27451.951 s	25580.009 s	27065.175 s	26980.347 s	26552.834 s	24293.165 s	26786.398 s	27286.81 s	25376.852 s	23468.168 s	25871.778 s	27847.293 s	27837.559 s	24978.358 s	27621.366 s	27779.862 s	26310.196 s	24958.483 s	27593.258 s	28080.595 s	27107.13 s	24514.969 s	25710.65 s	24157.01 s	24809.152 s	19799.173 s	22558.276 s	22592.905 s	22279.761 s	21721.402 s	24199.895 s	23320.447 s	24047.848 s	21495.822 s	24441.043 s	22029.479 s	22345.421 s	21421.479 s	23163.552 s	21978.373 s	22670.51 s
THS_T	ES	Spain	91504.647 s	87789.24 s	88063.585 s	94878.104 s	94462.841 s	87203.246 s	88513.213 s	92337.24 s	96036.973 s	86449.9 s	84465.405 s	88650.637 s	82118.702 s	78884.049 s	80774.726 s	86965.479 s	80514.67 s	80343.941 s	83828.492 s	86624.339 s	87704.626 s	83178.758 s	84894.245 s	87952.107 s	82557.611 s	79368.132 s	80897.315 s	89517.561 s	86759.179 s	83746.468 s	83039.087 s	92324.274 s	87737.335 s	83046.65 s	81793.232 s	87463.745 s	82857.615 s	79852.592 s	78191.264 s	80954.164 s	75791.541 s	57603.878 s	69753.442 s	74023.317 s	71614.406 s	72463.534 s	71921.431 s	79332.002 s	77723.264 s	75688.072 s	74797.949 s	76228.93 s	76243.086 s	72434.692 s	70572.731 s	74015.105 s	73475.406 s
