"nace, geo",1995 ,1996 ,1997 ,1998 ,1999 ,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 
"A,AT",: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,989.64357 ,982.57483 ,964.37789 ,967.96969 ,955.72594 ,953.01489 ,960.24704 ,951.73257 ,956.70039 ,944.01141 ,924.02815 ,907.16884 ,899.01348 ,900.51248 ,916.09255 s
"A,BE",: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,1093.90204 ,1102.75986 ,1109.33638 ,1061.43903 ,1055.61013 ,1057.29677 ,1048.73818 ,1069.95107 ,1058.4152 ,1060.90691 ,1055.9713 ,1063.58761 ,1062.83183 ,1069.72546 ,1059.20264 s
"A,BG",: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,551.39628 ,559.95788 ,651.38505 ,626.80639 ,670.10371 ,719.10185 ,815.02309 ,856.68215 ,904.50755 ,918.60159 ,927.06607 ,938.74669 ,922.88256 ,960.71152 ,972.08038 s
"A,CH",: ,: ,: ,: ,: ,974.30141 ,978.73038 ,963.20786 ,941.64188 ,927.80605 ,930.6246 ,931.47536 ,928.83116 ,925.3803 ,908.2649 ,892.92189 ,880.45774 ,871.74312 ,857.86345 ,865.28462 ,850.33287 ,839.85315 ,822.66784 ,803.80451 ,788.3199 ,776.13151 ,772.16803 ,: 
"A,CY",: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,760.93309 ,722.61988 ,717.68579 ,697.6453 ,656.72112 ,613.95762 ,595.60076 ,623.30666 ,641.26522 ,657.17273 ,649.57704 ,663.74158 ,700.42087 ,718.56827 ,709.78491 s
"A,CZ",: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,920.23113 ,833.67963 ,824.17869 ,870.83955 ,859.99361 ,852.04379 ,860.23584 ,912.68111 ,937.25452 ,912.19565 ,893.64415 ,885.52756 ,864.23139 ,888.47899 ,881.26844 s
"A,DE",: ,: ,: ,: ,: ,844.3786 ,853.4324 ,825.11809 ,812.37646 ,798.1241 ,794.88569 ,784.37953 ,789.04801 ,803.38383 ,810.32564 ,818.27181 ,843.97656 ,837.57969 ,847.13442 ,857.31252 ,851.91851 ,839.77074 ,825.53256 ,798.16954 ,786.26674 ,779.55363 ,764.81135 ,769.00042 s
"A,DK",3050.58425 ,2967.17114 ,2933.20898 ,2915.4734 ,2837.41659 ,2846.7635 ,2845.95876 ,2829.93157 ,2779.20341 ,2749.8507 ,2707.62793 ,2647.44794 ,2653.20308 ,2612.29593 ,2560.80065 ,2547.63584 ,2531.1062 ,2478.71392 ,2464.44545 ,2450.356 ,2415.07905 ,2432.44322 ,2411.08396 ,2377.66755 ,2347.73081 ,2388.46496 ,2355.59503 ,2291.64029 s
"A,EE",: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,1229.95141 ,1154.43001 ,1174.37802 ,1222.97896 ,1383.48379 ,1459.21882 ,1381.56964 ,1269.52611 ,1218.06174 ,1266.05916 ,1270.71962 ,1319.00794 ,1261.3923 ,1281.34895 ,1298.73855 s
"A,EL",: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,1100.77507 ,1030.27626 ,1027.68096 ,1011.40771 ,908.76907 ,872.45243 ,844.72613 ,839.6061 ,838.25243 ,837.78286 ,831.45056 ,828.84517 ,878.6133 ,856.00694 ,906.86046 s
