quarter,AT,BE,BG,CY,CZ,DE,DK,EE,EL,ES,EU27_2020,FI,FR,HR,HU,IE,IT,LT,LU,LV,MT,NL,PL,PT,RO,SE,SI,SK
2010-Q1,2.591,3.536,1.985,3.194,3.404,3.347,4.884,4.639,3.005,1.968,2.677,4.204,2.313,1.642,1.922,4.194,2.464,1.904,5.458,1.782,1.874,3.871,2.916,1.651,1.535,2.033,2.507,2.182
2010-Q2,2.285,2.963,1.764,2.846,2.909,2.929,4.403,3.886,2.792,1.887,2.344,3.488,1.976,1.541,1.626,3.831,2.105,1.691,4.798,1.412,1.847,3.319,2.459,1.647,1.435,1.738,2.105,1.976
2010-Q3,2.243,2.625,2.036,3.256,2.876,2.763,4.343,4.004,3.043,1.891,2.274,3.192,1.825,1.763,1.601,3.515,2.048,1.836,4.49,1.556,2.092,3.047,2.417,1.784,1.525,1.615,2.187,1.993
2010-Q4,2.707,3.37,2.277,2.89,3.365,3.408,4.888,4.671,2.809,2.034,2.7,4.026,2.273,1.727,2.036,3.963,2.418,1.984,5.319,1.724,1.839,3.771,3.015,1.766,1.812,1.956,2.53,2.295
2011-Q1,2.619,3.243,2.182,3.055,3.286,3.306,4.946,4.668,2.977,2.024,2.651,4.061,2.263,1.655,1.965,3.976,2.456,1.876,5.265,1.65,1.855,3.661,2.92,1.695,1.577,1.875,2.492,2.203
2011-Q2,2.254,2.692,2.09,2.726,2.902,2.807,4.458,3.983,2.638,1.867,2.28,3.223,1.857,1.545,1.581,3.615,2.044,1.878,4.476,1.395,1.809,3.084,2.479,1.631,1.533,1.642,2.131,2.015
2011-Q3,2.128,2.501,2.177,2.788,2.842,2.734,4.255,4.218,2.863,1.893,2.223,2.798,1.731,1.675,1.568,3.443,1.98,2.027,3.658,1.465,2.137,2.9,2.411,1.708,1.609,1.537,2.093,1.959
2011-Q4,2.492,2.982,2.518,2.696,3.266,3.236,4.578,4.399,2.876,1.972,2.569,3.227,2.115,1.736,2.002,3.683,2.29,1.999,4.66,1.629,1.844,3.466,2.947,1.689,1.926,1.66,2.337,2.148
2012-Q1,2.485,3.119,2.266,2.796,3.316,3.361,4.596,4.217,3.026,2.052,2.624,3.393,2.252,1.643,1.86,3.844,2.395,1.922,4.85,1.612,1.979,3.569,2.897,1.704,1.62,1.7,2.363,2.083
2012-Q2,2.099,2.654,1.898,2.403,2.886,2.854,4.126,3.832,2.551,1.848,2.245,2.875,1.875,1.417,1.457,3.77,1.985,1.834,4.296,1.338,1.908,3.054,2.435,1.581,1.48,1.515,2.032,1.843
2012-Q3,2.025,2.392,2.054,2.747,2.618,2.735,3.869,4.013,2.795,1.807,2.177,2.674,1.742,1.578,1.514,3.479,1.92,2.095,3.82,1.549,2.267,2.856,2.356,1.728,1.632,1.448,2.022,1.837
2012-Q4,2.405,2.895,2.132,2.375,3.071,3.255,4.339,4.574,2.697,1.897,2.493,3.237,2.09,1.568,1.79,3.86,2.131,1.984,4.451,1.569,1.842,3.392,2.861,1.58,1.839,1.632,2.197,2.104
2013-Q1,2.402,3.16,1.852,2.315,3.145,3.454,4.519,4.859,2.457,1.759,2.536,3.393,2.231,1.475,1.729,3.981,2.216,1.8,4.701,1.577,1.805,3.544,2.85,1.627,1.437,1.665,2.206,2.004
