siec	geo	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
C0000X0350-0370	AL	76.049	63.050	81.249	91.133	46.394	119.884	235.830	119.296	147.401	223.807	140.611	142.466
C0000X0350-0370	AT	301.607	312.563	313.929	331.023	339.880	305.567	290.666	288.412	329.738	230.092	235.286	219.571
C0000X0350-0370	BA	:	:	118.526	114.341	92.294	115.113	152.593	105.621	140.134	188.394	178.288	:
C0000X0350-0370	BE	348.858	406.803	407.341	419.542	400.976	389.055	414.921	416.127	335.549	354.649	291.639	251.772
C0000X0350-0370	BG	171.169	163.841	177.775	185.369	170.057	199.527	229.060	196.352	179.999	249.177	209.854	216.490
C0000X0350-0370	CY	0.000	0.000	2.218	3.679	0.000	2.980	13.614	17.199	14.004	40.105	30.593	27.393
C0000X0350-0370	CZ	918.076	836.863	730.372	708.253	700.318	877.626	839.511	757.244	752.804	765.299	694.804	652.969
C0000X0350-0370	DE	3496.013	3580.847	3451.660	3964.513	4083.146	4029.231	3245.072	3073.895	3263.542	2829.456	3296.263	2761.864
C0000X0350-0370	DK	87.037	93.662	101.569	100.151	107.053	120.605	124.950	103.420	116.093	135.983	103.397	84.798
C0000X0350-0370	EE	33.841	31.287	42.157	14.266	12.969	17.913	23.646	27.541	5.182	0.179	1.596	2.502
C0000X0350-0370	EL	226.865	210.495	226.715	218.178	193.742	190.412	277.440	194.241	162.928	179.019	65.208	47.834
C0000X0350-0370	ES	350.495	329.197	325.983	324.311	308.017	306.033	278.891	245.980	225.019	318.806	352.467	298.204
C0000X0350-0370	EU27_2020	13690.287	12944.289	12612.076	12970.543	13000.914	13209.688	12595.430	11675.276	10907.658	10879.272	10270.749	8532.437
C0000X0350-0370	FI	101.596	103.976	103.205	108.663	137.139	134.574	125.780	119.580	103.944	115.366	106.933	58.936
C0000X0350-0370	FR	1232.700	1039.903	972.740	1030.433	994.043	1045.566	1095.287	889.545	784.890	905.253	635.648	530.596
C0000X0350-0370	GE	:	313.318	289.398	269.893	248.404	274.734	293.144	240.690	212.711	224.044	234.259	:
C0000X0350-0370	HR	124.190	110.611	98.821	77.945	64.084	72.414	66.232	79.938	102.579	107.110	79.070	66.185
C0000X0350-0370	HU	75.580	47.725	56.940	77.253	76.027	146.547	128.833	110.979	97.297	74.147	72.357	49.249
C0000X0350-0370	IE	97.012	82.220	106.992	105.873	106.481	102.268	105.425	79.151	76.093	89.377	70.828	52.338
C0000X0350-0370	IS	92.641	97.595	86.743	93.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
C0000X0350-0370	IT	950.763	704.387	739.881	539.450	688.034	489.273	623.279	595.062	409.362	302.273	306.200	296.973
C0000X0350-0370	LT	118.236	135.693	117.394	95.495	86.795	84.640	94.561	105.535	88.584	104.314	106.794	71.586
C0000X0350-0370	LU	54.377	51.927	51.589	48.598	50.343	46.735	41.522	45.509	37.626	39.151	39.583	22.537
C0000X0350-0370	LV	52.774	34.691	31.740	23.985	17.563	23.274	32.014	28.977	19.190	12.656	8.477	8.488
C0000X0350-0370	MD	29.245	54.667	31.649	39.061	22.286	27.697	24.984	22.276	18.844	28.720	9.678	4.058
C0000X0350-0370	ME	5.059	2.860	3.080	6.599	6.343	5.656	2.697	3.354	2.812	5.101	2.002	1.987
C0000X0350-0370	MK	142.468	120.076	100.251	98.346	125.689	95.320	110.647	125.682	68.823	90.630	34.287	32.099
C0000X0350-0370	MT	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
C0000X0350-0370	NL	104.151	78.482	80.125	186.048	230.882	246.424	228.909	208.302	166.747	138.840	112.262	95.400
C0000X0350-0370	NO	474.138	470.495	465.914	464.954	521.233	498.799	462.673	490.699	520.211	554.969	496.097	451.113
C0000X0350-0370	PL	3279.395	3175.447	3126.678	2954.749	2855.465	3062.691	2999.737	2797.570	2492.997	2580.731	2362.645	1963.890
C0000X0350-0370	PT	20.008	18.469	13.904	12.968	12.716	11.000	10.150	10.798	9.695	9.980	6.820	4.988
C0000X0350-0370	RO	737.896	663.521	598.183	696.353	671.938	593.452	582.821	618.636	557.789	687.431	508.623	270.398
C0000X0350-0370	RS	313.597	209.017	231.671	279.399	352.211	261.353	272.918	176.440	214.008	135.863	106.135	109.321
C0000X0350-0370	SE	402.126	369.087	368.737	390.695	372.265	374.306	370.807	345.087	292.539	320.038	333.480	303.387
C0000X0350-0370	SI	50.794	47.469	45.066	39.300	36.269	38.253	40.858	39.800	28.288	21.057	27.565	19.248
C0000X0350-0370	SK	354.728	315.123	320.362	313.450	284.712	299.322	311.444	280.396	255.180	268.783	212.357	154.841
C0000X0350-0370	TR	6146.338	4999.426	5298.955	5631.304	6192.381	6027.703	5945.519	5769.255	6476.176	7934.520	6928.656	6879.295
C0000X0350-0370	UA	4272.555	4475.252	5737.537	3366.933	3092.280	2607.774	3300.023	3341.994	3170.851	:	:	:
C0000X0350-0370	UK	1525.945	1982.397	2029.046	1706.639	1462.343	1299.407	1169.388	1078.851	:	:	:	:
C0000X0350-0370	XK	50.867	31.610	20.949	18.755	25.674	23.301	7.217	10.388	16.681	22.842	19.359	24.197
C0350-0370	AL	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
C0350-0370	AT	90.258	95.452	82.777	80.561	99.954	104.806	88.126	95.870	81.312	111.897	98.945	96.559
C0350-0370	BA	:	:	104.352	105.379	104.615	100.244	110.215	121.393	52.381	42.665	41.062	:
C0350-0370	BE	209.198	207.366	181.463	162.296	163.392	171.581	173.145	153.077	141.229	180.261	151.137	159.205
C0350-0370	BG	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
C0350-0370	CY	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
C0350-0370	CZ	330.768	312.893	323.565	311.300	303.920	279.425	321.646	266.195	265.890	314.360	268.324	188.236
C0350-0370	DE	2526.020	2347.516	2333.453	2462.038	2234.898	2194.760	2494.077	2316.624	2141.267	2124.961	2152.195	2323.940
C0350-0370	DK	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
C0350-0370	EE	0.175	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
C0350-0370	EL	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
C0350-0370	ES	123.256	117.866	75.614	79.689	95.825	94.492	82.294	72.953	51.887	90.152	87.428	76.854
C0350-0370	EU27_2020	5221.895	4937.459	5002.471	4943.171	4761.611	4666.091	4899.297	4484.041	4102.335	4461.755	4375.962	4244.795
C0350-0370	FI	118.778	117.068	120.529	134.991	144.473	122.148	139.505	137.315	126.763	143.625	125.521	122.404
C0350-0370	FR	0.191	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
C0350-0370	GE	:	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	:
C0350-0370	HR	0.000	0.064	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
C0350-0370	HU	132.868	81.750	45.980	55.857	32.158	41.638	31.857	31.449	21.733	35.447	10.447	0.000
C0350-0370	IE	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
C0350-0370	IS	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
C0350-0370	IT	205.790	165.203	280.298	209.348	234.704	159.152	131.622	109.389	95.212	97.507	88.048	60.769
C0350-0370	LT	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
C0350-0370	LU	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
C0350-0370	LV	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
C0350-0370	MD	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
C0350-0370	ME	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
C0350-0370	MK	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
C0350-0370	MT	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
C0350-0370	NL	192.911	197.876	203.951	215.973	220.664	238.106	212.985	177.085	191.520	219.067	296.335	267.183
C0350-0370	NO	67.952	69.265	70.173	60.906	51.209	61.431	66.519	53.445	51.941	57.915	66.741	66.266
C0350-0370	PL	546.864	541.029	594.841	486.849	462.377	499.879	469.239	451.465	379.046	429.782	367.131	334.215
C0350-0370	PT	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
C0350-0370	RO	188.760	195.686	173.641	168.983	158.976	150.237	148.013	148.202	145.021	150.476	123.713	59.585
C0350-0370	RS	29.426	33.009	46.647	5.422	8.790	10.056	19.082	19.089	13.688	15.404	24.850	45.847
C0350-0370	SE	176.455	177.259	172.480	174.073	182.282	175.891	165.570	179.309	170.722	164.273	170.608	172.760
C0350-0370	SI	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
C0350-0370	SK	379.603	380.431	413.879	401.213	427.988	433.976	441.218	345.108	290.733	399.947	436.130	383.085
